Num Topics,Passes,Iterations,Coherence
5,50,100,-1.7130422507337328
10,50,100,-2.245164688579997
15,50,100,-2.4983008461780627
20,50,100,-2.323764143066902
25,50,100,-2.5908942203469065
30,50,100,-2.758333189365495
35,50,100,-2.7481674279249813
40,50,100,-2.6130992257359935
45,50,100,-2.3867279700572177
50,50,100,-2.6041544725903374
55,50,100,-2.6803074787960037
60,50,100,-2.432920603997483
65,50,100,-2.3956798374297072
70,50,100,-2.4580377432668534
75,50,100,-2.603432697348362
80,50,100,-2.421310742172942
85,50,100,-2.4015540168328307
90,50,100,-2.338799244620505
95,50,100,-2.3113552566246907
100,50,100,-2.276674168561663
