Num Topics,Passes,Iterations,Coherence
5,50,100,-0.7385219213596378
10,50,100,-0.7305145220211046
15,50,100,-0.7272415699795789
20,50,100,-0.7268391856406762
25,50,100,-0.72096334748867
30,50,100,-0.7191633071909043
35,50,100,-0.7195203463172679
40,50,100,-0.7179253893924662
45,50,100,-0.7197334239653376
50,50,100,-0.7148383140832554
55,50,100,-0.7134465398886514
60,50,100,-0.7121860741956191
65,50,100,-0.7102100517280199
70,50,100,-0.7099487041776799
75,50,100,-0.7099487041776801
80,50,100,-0.7099487041776802
85,50,100,-0.7099487041776801
90,50,100,-0.7099487041776802
95,50,100,-0.70994870417768
100,50,100,-0.7099487041776801
