Num Topics,Passes,Iterations,Coherence
5,50,100,-1.6765289684765476
10,50,100,-1.8972727015971755
15,50,100,-1.8273949144608226
20,50,100,-1.9592221532741732
25,50,100,-2.0919276122949815
30,50,100,-1.8926811217413382
35,50,100,-2.0405447230872023
40,50,100,-2.065554281350842
45,50,100,-2.06069596979525
50,50,100,-2.0024001365668953
55,50,100,-1.9428326301484726
60,50,100,-1.9726928700352468
65,50,100,-2.018388249573195
70,50,100,-2.049807920153685
75,50,100,-2.000469182566531
80,50,100,-2.0355553808382427
85,50,100,-2.033831754660287
90,50,100,-2.262348427319321
95,50,100,-2.4955155333994443
100,50,100,-2.5465362418224426
