Num Topics,Passes,Iterations,Coherence
5,50,100,-1.1620576197099193
10,50,100,-1.2736384499672275
15,50,100,-1.1999287235764515
20,50,100,-1.2442886957358574
25,50,100,-1.231358395506873
30,50,100,-1.2081969944171325
35,50,100,-1.2410798263372813
40,50,100,-1.2075726814313836
45,50,100,-1.2199556524612487
50,50,100,-1.2498548816351787
55,50,100,-1.2479416130908398
60,50,100,-1.2488572009912429
65,50,100,-1.223810270522874
70,50,100,-1.31135802378861
75,50,100,-1.3051730220286795
80,50,100,-1.3263752929735506
85,50,100,-1.3597748254986766
90,50,100,-1.3845443155645067
95,50,100,-1.4242827056639595
100,50,100,-1.4530924406059074
