Num Topics,Passes,Iterations,Coherence
5,50,100,-1.6609881786364327
10,50,100,-1.6926963155909387
15,50,100,-2.086815431759564
20,50,100,-2.23274273472322
25,50,100,-2.1386711042264706
30,50,100,-2.456646476860807
35,50,100,-2.3107740627829285
40,50,100,-2.3720305113919125
45,50,100,-2.47531929117352
50,50,100,-2.3450573553987737
55,50,100,-2.5786090745469608
60,50,100,-2.424467603766575
65,50,100,-2.325998201111187
70,50,100,-2.394396924546136
75,50,100,-2.488017140719314
80,50,100,-2.292882036431564
85,50,100,-2.318638285065557
90,50,100,-2.281340377764567
95,50,100,-2.3456530419909267
100,50,100,-2.2647457941363958
